site_url,aff_url
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.nintendo.com%2Fus%2Fstore%2Fproducts%2Fsuper-mario-3d-world-plus-bowsers-fury-switch%2F&xcust=___vg__p_23775757__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X170...
Name: aff_url, dtype: object"
https://www.amazon.com/Avatar-Frontiers-Pandora-Limited-PlayStation-5/dp/B0C7SM1W4K/?tag=theverge02-20&ascsubtag=___vg__p_23773411__t_w__d_D,"0    https://www.amazon.com/Avatar-Frontiers-Pandor...
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.nintendo.com%2Fus%2Fstore%2Fproducts%2Fsuper-mario-3d-world-plus-bowsers-fury-switch%2F&xcust=___vg__p_23775757__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.nintendo.com%2Fus%2Fstore%2Fproducts%2Fsuper-mario-3d-world-plus-bowsers-fury-switch%2F&xcust=___vg__p_23775757__t_w__d_D
Name: aff_url, dtype: object"
https://www.amazon.com/Avatar-Frontiers-Pandora-Limited-PlayStation-5/dp/B0C7SM1W4K/?tag=theverge02-20&ascsubtag=___vg__p_23773411__t_w__d_D,"0    https://www.amazon.com/Avatar-Frontiers-Pandora-Limited-PlayStation-5/dp/B0C7SM1W4K/?tag=theverge02-20&ascsubtag=___vg__p_23773411__t_w__d_D
Name: aff_url, dtype: object"
https://howl.me/clf1I56hcyR,"4    http://www.bestbuy.com/site/-/6507301.p?cmp=RMX&nrtv_cid=a690832709208faa6d976ff6be6adc2a22a3e488490205d19336a1d78e46525e&utm_source=narrativ&ar=1829839383115717926&irclickid=0pkR5qWopxyPTMaQKe2r8UYmUkHxvpWP0S9s2U0&irgwc=1&ref=198&loc=Howl%20Technologies%2C%20Inc.&acampID=0&mpid=376373
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1485171-REG%2Fcorsair_10gat9901_stream_deck_xl.html%2F&xcust=___vg__p_23773411__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1485171-REG%2Fcorsair_10gat9901_stream_deck_xl.html%2F&xcust=___vg__p_23773411__t_w__d_D
Name: aff_url, dtype: object"
https://www.amazon.com/Sennheiser-600-Ear-Audiophile-Headphones/dp/B09SKPP459?&linkCode=ll1&tag=vergequickpost-20&linkId=9ca1c79451eae5316579b12550b35b04&language=en_US&ref_=as_li_ss_tl,"0    https://www.amazon.com/Sennheiser-600-Ear-Audiophile-Headphones/dp/B09SKPP459?&linkCode=ll1&tag=vergequickpost-20&linkId=9ca1c79451eae5316579b12550b35b04&language=en_US&ref_=as_li_ss_tl
Name: aff_url, dtype: object"
https://www.amazon.com/Apple-MacBook-Laptop-12%E2%80%91core-18%E2%80%91core/dp/B0CM5BL45N?th=1&tag=theverge02-20&ascsubtag=___vg__p_22163460__t_w__d_D,"0    https://www.amazon.com/Apple-MacBook-Laptop-12%E2%80%91core-18%E2%80%91core/dp/B0CM5BL45N?th=1&tag=theverge02-20&ascsubtag=___vg__p_22163460__t_w__d_D
Name: aff_url, dtype: object"
https://goto.target.com/c/482924/81938/2092?u=https%3A%2F%2Fwww.target.com%2Fp%2Fbullseye-trio-giftcard%2F-%2FA-54630202%3Fpreselect%3D81480868%23lnk%3Dsametab&subId2=[]vg[p]23406067[t]w[d]D,"3    https://www.target.com/p/bullseye-trio-giftcard/-/A-54630202?preselect=81480868&clkid=9f190e0aNa92411ee97a045938673b63f&cpng=PTID1&lnm=81938&afid=Vox%20Media&ref=tgt_adv_xasd0002#lnk=sametab
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fplay.google.com%2Fstore%2Fapps%2Fdetails%3Fid%3Dcom.rockstargames.gtavc.de&xcust=___vg__p_23765360__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fplay.google.com%2Fstore%2Fapps%2Fdetails%3Fid%3Dcom.rockstargames.gtavc.de&xcust=___vg__p_23765360__t_w__d_D
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1710306-REG%2Fapple_mly43ll_a_13_6_macbook_air_m2.html&xcust=___vg__p_22163460__i_EfXX7E__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1710306-REG%2Fapple_mly43ll_a_13_6_macbook_air_m2.html&xcust=___vg__p_22163460__i_EfXX7E__t_w__d_D
Name: aff_url, dtype: object"
https://www.amazon.com/Barnes-Noble-Gift-Card-Delivery/dp/B08KZF2678?tag=theverge02-20&ascsubtag=___vg__p_23406067__t_w__d_D,"0    https://www.amazon.com/Barnes-Noble-Gift-Card-Delivery/dp/B08KZF2678?tag=theverge02-20&ascsubtag=___vg__p_23406067__t_w__d_D
Name: aff_url, dtype: object"
https://howl.me/ckeByKobgzT,"4    http://www.bestbuy.com/site/-/6350572.p?cmp=RMX&nrtv_cid=371a296720aaa02a51dd5e7365fc7e9ca7eec3e760f6d4140f840bda0ff6dd5f&utm_source=narrativ&ar=1829839267888071371&irclickid=0JdRqDWooxyPUEnxd4UTmSBlUkHxvp130S9s2U0&irgwc=1&ref=198&loc=Narrativ%20Campaign&acampID=0&mpid=3139288
Name: aff_url, dtype: object"
https://www.amazon.com/gp/product/B09WJY877B?tag=theverge02-20&ascsubtag=___vg__p_23406067__t_w__d_D,"0    https://www.amazon.com/gp/product/B09WJY877B?tag=theverge02-20&ascsubtag=___vg__p_23406067__t_w__d_D
Name: aff_url, dtype: object"
https://click.linksynergy.com/deeplink?id=nOD/rLJHOac&mid=24348&murl=https://www.gamestop.com/consoles-hardware/playstation-5/consoles/products/sony-playstation-portal-remote-player-for-ps5-console/20009075.html&u1=[]vg[p]23776588[i]10216[t]w[d]D,"0    https://click.linksynergy.com/deeplink?id=nOD/rLJHOac&mid=24348&murl=https://www.gamestop.com/consoles-hardware/playstation-5/consoles/products/sony-playstation-portal-remote-player-for-ps5-console/20009075.html&u1=[]vg[p]23776588[i]10216[t]w[d]D
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fus.ecoflow.com%2Fproducts%2Fglacier-portable-refrigerator%3Fvariant%3D40524279644233&xcust=___vg__p_23751652__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fus.ecoflow.com%2Fproducts%2Fglacier-portable-refrigerator%3Fvariant%3D40524279644233&xcust=___vg__p_23751652__t_w__d_D
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.williams-sonoma.com%2Fproducts%2Fkitchenaid-bowl-lift-stand-mixer%2F%3Fsku%3D7156163%26cm_ven%3DPLA%26cm_ite%3D7156163_14932288920%26cm_cat%3DGoogle%26cm_pla%3DLocal%26gad_source%3D1%26gclid%3DCjwKCAiAmsurBhBvEiwA6e-WPPF6TEnpcWqtN1EzzcMoGncjo5mOuaBIs-sCBPpJDz7ZyHlkNL01bRoCNpMQAvD_BwE&xcust=___vg__p_23762285__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.williams-sonoma.com%2Fproducts%2Fkitchenaid-bowl-lift-stand-mixer%2F%3Fsku%3D7156163%26cm_ven%3DPLA%26cm_ite%3D7156163_14932288920%26cm_cat%3DGoogle%26cm_pla%3DLocal%26gad_source%3D1%26gclid%3DCjwKCAiAmsurBhBvEiwA6e-WPPF6TEnpcWqtN1EzzcMoGncjo5mOuaBIs-sCBPpJDz7ZyHlkNL01bRoCNpMQAvD_BwE&xcust=___vg__p_23762285__t_w__d_D
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.ticketmaster.com%2Fsearch%3Fq%3Dolivia%2520rodrigo&xcust=___vg__p_23406067__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.ticketmaster.com%2Fsearch%3Fq%3Dolivia%2520rodrigo&xcust=___vg__p_23406067__t_w__d_D
Name: aff_url, dtype: object"
https://www.anrdoezrs.net/links/8836598/type/dlg/sid/___vg__p_23406067__t_w__d_D/https://www.fitbit.com/global/us/products/services/premium,"1    https://cj.dotomi.com/links-t/8836598/type/dlg/sid/___vg__p_23406067__t_w__d_D/https://www.fitbit.com/global/us/products/services/premium
Name: aff_url, dtype: object"
https://www.amazon.com/dp/B07RL8H55Z?tag=theverge02-20&ascsubtag=___vg__p_23773411__i_XOrwJd__t_w__d_D,"0    https://www.amazon.com/dp/B07RL8H55Z?tag=theverge02-20&ascsubtag=___vg__p_23773411__i_XOrwJd__t_w__d_D
Name: aff_url, dtype: object"
https://www.amazon.com/Apple-MacBook-Laptop-10%E2%80%91core-16%E2%80%91core/dp/B0BSHFDM92?th=1&tag=theverge02-20&ascsubtag=___vg__p_22163460__t_w__d_D,"0    https://www.amazon.com/Apple-MacBook-Laptop-10%E2%80%91core-16%E2%80%91core/dp/B0BSHFDM92?th=1&tag=theverge02-20&ascsubtag=___vg__p_22163460__t_w__d_D
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fus.ecoflow.com%2Fproducts%2Fglacier-portable-refrigerator%3Fvariant%3D40524279545929&xcust=___vg__p_23751652__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fus.ecoflow.com%2Fproducts%2Fglacier-portable-refrigerator%3Fvariant%3D40524279545929&xcust=___vg__p_23751652__t_w__d_D
Name: aff_url, dtype: object"
https://www.amazon.com/dp/B07ZVKTP53/?tag=theverge02-20&ascsubtag=___vg__p_23775757__t_w__d_D,"0    https://www.amazon.com/dp/B07ZVKTP53/?tag=theverge02-20&ascsubtag=___vg__p_23775757__t_w__d_D
Name: aff_url, dtype: object"
https://howl.me/clgvgnOeLAu,"3    https://www.anker.com/products/a8346?variant=37438455480470&nrtv_cid=813d1b261ff27c3c5ce9845565c64264efcef7a3bce6deb9864f42ef52429a7b&utm_medium=affiliate&utm_source=narrativ
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fplay.google.com%2Fstore%2Fapps%2Fcollection%2Fcluster%3Fgsr%3DSlNqGHFpVmorYmpPek5nSm1hS0l3K2IrVFE9PbICNgobChdjb20ubmV0ZmxpeC5tZWRpYWNsaWVudBAHEhcIARITNjg5MTQyMjg2NTkzMDMwMzQ3NQ%253D%253D%3AS%3AANO1ljL67WM%26hl%3Den%26gl%3DUS&xcust=___vg__p_23765360__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fplay.google.com%2Fstore%2Fapps%2Fcollection%2Fcluster%3Fgsr%3DSlNqGHFpVmorYmpPek5nSm1hS0l3K2IrVFE9PbICNgobChdjb20ubmV0ZmxpeC5tZWRpYWNsaWVudBAHEhcIARITNjg5MTQyMjg2NTkzMDMwMzQ3NQ%253D%253D%3AS%3AANO1ljL67WM%26hl%3Den%26gl%3DUS&xcust=___vg__p_23765360__t_w__d_D
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1668323-REG%2Fapple_mbp_16_sg_25_16_2_macbook_pro_with.html&xcust=___vg__p_22163460__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1668323-REG%2Fapple_mbp_16_sg_25_16_2_macbook_pro_with.html&xcust=___vg__p_22163460__t_w__d_D
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1746356-REG%2Fapple_mphf3ll_a_14_macbook_pro_with.html&xcust=___vg__p_22163460__i_PrIbKb__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1746356-REG%2Fapple_mphf3ll_a_14_macbook_pro_with.html&xcust=___vg__p_22163460__i_PrIbKb__t_w__d_D
Name: aff_url, dtype: object"
https://www.amazon.com/DoorDash-Gift-Cards-Email-Delivery/dp/B07ZDX292M/?tag=theverge02-20&ascsubtag=___vg__p_23406067__t_w__d_D,"0    https://www.amazon.com/DoorDash-Gift-Cards-Email-Delivery/dp/B07ZDX292M/?tag=theverge02-20&ascsubtag=___vg__p_23406067__t_w__d_D
Name: aff_url, dtype: object"
https://www.amazon.com/Nintendo-Switch-12-Month-Individual-Membership/dp/B07FV64QLX/?tag=theverge02-20&ascsubtag=___vg__p_23406067__t_w__d_D,"0    https://www.amazon.com/Nintendo-Switch-12-Month-Individual-Membership/dp/B07FV64QLX/?tag=theverge02-20&ascsubtag=___vg__p_23406067__t_w__d_D
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1793621-REG%2Fapple_mrw43ll_a_16_macbook_pro_m3.html&xcust=___vg__p_22163460__i_hxZ2Jk__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1793621-REG%2Fapple_mrw43ll_a_16_macbook_pro_m3.html&xcust=___vg__p_22163460__i_hxZ2Jk__t_w__d_D
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1746353-REG%2Fapple_mmfj3ll_a_mac_mini_with_m2.html&xcust=___vg__p_22163460__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1746353-REG%2Fapple_mmfj3ll_a_mac_mini_with_m2.html&xcust=___vg__p_22163460__t_w__d_D
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1710306-REG%2Fapple_mly43ll_a_13_6_macbook_air_m2.html&xcust=___vg__p_22163460__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1710306-REG%2Fapple_mly43ll_a_13_6_macbook_air_m2.html&xcust=___vg__p_22163460__t_w__d_D
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.onepeloton.com%2Fapp&xcust=___vg__p_23406067__i_cvfBmu__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.onepeloton.com%2Fapp&xcust=___vg__p_23406067__i_cvfBmu__t_w__d_D
Name: aff_url, dtype: object"
https://www.amazon.com/Apple-Gift-Card-Holiday-1/dp/B093GXWC9K?tag=theverge02-20&ascsubtag=___vg__p_23406067__i_7aq18x__t_w__d_D,"0    https://www.amazon.com/Apple-Gift-Card-Holiday-1/dp/B093GXWC9K?tag=theverge02-20&ascsubtag=___vg__p_23406067__i_7aq18x__t_w__d_D
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1668323-REG%2Fapple_mbp_16_sg_25_16_2_macbook_pro_with.html&xcust=___vg__p_22163460__i_Ffoqi8__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1668323-REG%2Fapple_mbp_16_sg_25_16_2_macbook_pro_with.html&xcust=___vg__p_22163460__i_Ffoqi8__t_w__d_D
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fplay.google.com%2Fstore%2Fapps%2Fdetails%3Fid%3Dcom.rockstargames.gta3.de&xcust=___vg__p_23765360__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fplay.google.com%2Fstore%2Fapps%2Fdetails%3Fid%3Dcom.rockstargames.gta3.de&xcust=___vg__p_23765360__t_w__d_D
Name: aff_url, dtype: object"
