initial_url,destination_url,reason
https://goto.walmart.com/c/482924/565706/9383?u=https%3A%2F%2Fwww.walmart.com%2Fip%2FApple-Watch-Series-9-GPS-41mm-Midnight-Aluminum-Case-with-Midnight-Sport-Band-S-M%2F5032897977%2F&subId2=[]vg[p]23775757[t]w[d]D,https://www.walmart.com/ip/Apple-Watch-Series-9-GPS-41mm-Midnight-Aluminum-Case-with-Midnight-Sport-Band-S-M/5032897977/?clickid=ycFXEayr4xyPTbeUCqxSR3MKUkHxqISRyQLGzI0&irgwc=1&sourceid=imp_ycFXEayr4xyPTbeUCqxSR3MKUkHxqISRyQLGzI0&veh=aff&wmlspartner=imp_482924&affiliates_ad_id=565706&campaign_id=9383&sharedid=,no matched pattern
https://goto.walmart.com/c/482924/565706/9383?u=https%3A%2F%2Fwww.walmart.com%2Fip%2FNetflix-30-Gift-Card-Email-Delivery%2F49232773&subId2=[]vg[p]23406067[t]w[d]D,https://www.walmart.com/ip/Netflix-30-Gift-Card-Email-Delivery/49232773?clickid=ycFXEayr4xyPTbeUCqxSR3MKUkHxO-2ByQLGzI0&irgwc=1&sourceid=imp_ycFXEayr4xyPTbeUCqxSR3MKUkHxO-2ByQLGzI0&veh=aff&wmlspartner=imp_482924&affiliates_ad_id=565706&campaign_id=9383&sharedid=,no matched pattern
https://www.nytimes.com/wirecutter/out/link/58608/195926/4/173329?merchant=Walmart,https://www.walmart.com/ip/Portico-Cooking-and-Feasting-in-Rome-s-Jewish-Kitchen-Hardcover-9780393868012/1029808079?selectedSellerId=0&clickid=ycFXEayr4xyPTbeUCqxSR3MKUkHx9fTxyQLGzI0&irgwc=1&sourceid=imp_ycFXEayr4xyPTbeUCqxSR3MKUkHx9fTxyQLGzI0&veh=aff&wmlspartner=imp_197432&affiliates_ad_id=565706&campaign_id=9383&sharedid=,no matched pattern
https://www.nytimes.com/wirecutter/out/link/58613/195929/4/173318?merchant=Walmart,https://www.walmart.com/ip/18-Jewish-Stories-Translated-from-18-Languages-Paperback-9798887192062/1250092074?selectedSellerId=0&clickid=ycFXEayr4xyPTbeUCqxSR3MKUkHx9fVFyQLGzI0&irgwc=1&sourceid=imp_ycFXEayr4xyPTbeUCqxSR3MKUkHx9fVFyQLGzI0&veh=aff&wmlspartner=imp_197432&affiliates_ad_id=565706&campaign_id=9383&sharedid=,no matched pattern
https://www.nytimes.com/wirecutter/out/link/32621/153904/4/130279/?merchant=Walmart,https://www.walmart.com/ip/Lenovo-Smart-Clock-with-the-Google-Assistant/225392859?selectedSellerId=0&clickid=ycFXEayr4xyPTbeUCqxSR3MKUkH2ibUVyQLGzI0&irgwc=1&sourceid=imp_ycFXEayr4xyPTbeUCqxSR3MKUkH2ibUVyQLGzI0&veh=aff&wmlspartner=imp_197432&affiliates_ad_id=565706&campaign_id=9383&sharedid=
https://goto.walmart.com/c/482924/565706/9383?u=https%3A%2F%2Fwww.walmart.com%2Fip%2FBeats-Studio-Buds-True-Wireless-Noise-Cancelling-Bluetooth-Earbuds-Black%2F643659699%2F&subId2=[]vg[p]23773411[t]w[d]D,https://www.walmart.com/ip/Beats-Studio-Buds-True-Wireless-Noise-Cancelling-Bluetooth-Earbuds-Black/643659699/?clickid=ycFXEayr4xyPTbeUCqxSR3MKUkHxO-RpyQLGzI0&irgwc=1&sourceid=imp_ycFXEayr4xyPTbeUCqxSR3MKUkHxO-RpyQLGzI0&veh=aff&wmlspartner=imp_482924&affiliates_ad_id=565706&campaign_id=9383&sharedid=,no matched pattern
https://www.nytimes.com/wirecutter/out/link/52650/194462/4/169536?merchant=Walmart,https://www.walmart.com/ip/My-1st-Signs-Board-Book-9781904550396/3749554?clickid=ycFXEayr4xyPTbeUCqxSR3MKUkH2B70hyQLGzI0&irgwc=1&sourceid=imp_ycFXEayr4xyPTbeUCqxSR3MKUkH2B70hyQLGzI0&veh=aff&wmlspartner=imp_197432&affiliates_ad_id=565706&campaign_id=9383&sharedid=,no
https://www.nytimes.com/wirecutter/out/link/52650/194462/4/169536?merchant=Walmart,https://www.walmart.com/ip/My-1st-Signs-Board-Book-9781904550396/3749554?clickid=ycFXEayr4xyPTbeUCqxSR3MKUkHxcIS9yQLGzI0&irgwc=1&sourceid=imp_ycFXEayr4xyPTbeUCqxSR3MKUkHxcIS9yQLGzI0&veh=aff&wmlspartner=imp_197432&affiliates_ad_id=565706&campaign_id=9383&sharedid=,no matched pattern
https://www.nytimes.com/wirecutter/out/link/52651/194463/4/169538?merchant=Walmart,https://www.walmart.com/ip/Learning-Resources-Snap-N-Learn-Counting-Cows-20-Pieces-Counting-and-Sorting-Toys-for-Boys-and-Girls-Ages-18-Months/55475736?clickid=ycFXEayr4xyPTbeUCqxSR3MKUkHxcL01yQLGzI0&irgwc=1&sourceid=imp_ycFXEayr4xyPTbeUCqxSR3MKUkHxcL01yQLGzI0&veh=aff&wmlspartner=imp_197432&affiliates_ad_id=565706&campaign_id=9383&sharedid=,no matched pattern
https://www.nytimes.com/wirecutter/out/link/57877/194779/4/169546?merchant=Walmart,https://www.walmart.com/ip/Fisher-Price-Medical-Kit-7-Piece-Doctor-Toys-Preschool-Pretend-Play-Set-for-Ages-3-years/54224300?clickid=ycFXEayr4xyPTbeUCqxSR3MKUkHxcZwNyQLGzI0&irgwc=1&sourceid=imp_ycFXEayr4xyPTbeUCqxSR3MKUkHxcZwNyQLGzI0&veh=aff&wmlspartner=imp_197432&affiliates_ad_id=565706&campaign_id=9383&sharedid=,no matched pattern
https://www.nytimes.com/wirecutter/out/link/41422/168484/4/169540?merchant=Walmart,https://www.walmart.com/ip/Boon-Pipes-Building-Bath-Toy-Set-Colorful-Learning-Bath-Toys-Suction-to-Wall-5-Pack/44818127?clickid=ycFXEayr4xyPTbeUCqxSR3MKUkHxd4xFyQLGzI0&irgwc=1&sourceid=imp_ycFXEayr4xyPTbeUCqxSR3MKUkHxd4xFyQLGzI0&veh=aff&wmlspartner=imp_197432&affiliates_ad_id=565706&campaign_id=9383&sharedid=,no matched pattern
https://www.nytimes.com/wirecutter/out/link/41422/168484/4/122711/?merchant=Walmart,https://www.walmart.com/ip/Boon-Pipes-Building-Bath-Toy-Set-Colorful-Learning-Bath-Toys-Suction-to-Wall-5-Pack/44818127?clickid=ycFXEayr4xyPTbeUCqxSR3MKUkHxd4XNyQLGzI0&irgwc=1&sourceid=imp_ycFXEayr4xyPTbeUCqxSR3MKUkHxd4XNyQLGzI0&veh=aff&wmlspartner=imp_197432&affiliates_ad_id=565706&campaign_id=9383&sharedid=,no matched pattern
https://goto.walmart.com/c/482924/565706/9383?u=https%3A%2F%2Fwww.walmart.com%2Fip%2FOnline-Expansion-Pack-Family-Membership-Nintendo-Switch-Digital%2F2406058865&subId2=[]vg[p]23406067[t]w[d]D,https://www.walmart.com/ip/Online-Expansion-Pack-Family-Membership-Nintendo-Switch-Digital/2406058865?clickid=ycFXEayr4xyPTbeUCqxSR3MKUkHxLz2FyQLGzI0&irgwc=1&sourceid=imp_ycFXEayr4xyPTbeUCqxSR3MKUkHxLz2FyQLGzI0&veh=aff&wmlspartner=imp_482924&affiliates_ad_id=565706&campaign_id=9383&sharedid=,no matched pattern
https://homedepot.sjv.io/c/482924/456723/8154?u=https%3A%2F%2Fwww.homedepot.com%2Fp%2FAmazon-Echo-Show-8-3rd-Gen-2023-release-8-in-HD-Smart-Display-with-Spatial-Audio-Smart-Home-Hub-and-Alexa-Charcoal-B0BLS3Y632%2F327776805&subId2=[]vg[p]23775757[i]1YsS5e[t]w[d]D,https://www.homedepot.com/p/Amazon-Echo-Show-8-3rd-Gen-2023-release-8-in-HD-Smart-Display-with-Spatial-Audio-Smart-Home-Hub-and-Alexa-Charcoal-B0BLS3Y632/327776805?irgwc=1&cm_mmc=afl-ir-482924-456723-&clickid=yuWw5VRhNxyPU0F13GSo7xoXUkHxLwQtyQLGzI0,no matched pattern
https://www.nytimes.com/wirecutter/out/link/48831/179569/4/140442?merchant=Home%20Depot,https://www.homedepot.com/p/iRobot-Braava-Jet-m6-6110-Robot-Mop-with-Precision-Jet-Spray-Smart-Mapping-Recharge-and-Resume-for-Multi-Room-m611020/309461482?irgwc=1&cm_mmc=afl-ir-197432-456723-&clickid=yuWw5VRhNxyPU0F13GSo7xoXUkHx-2RNyQLGzI0,no
